Brand,Model,Price,Body,Mileage,EngineV,Engine Type,Registration,Year
Volkswagen,Passat B6,NA,vagon,217,2,Diesel,no,2008
Mercedes-Benz,E-Class,NA,sedan,245,2.2,Diesel,yes,2002
Mercedes-Benz,ML 350,14200,crossover,210,NA,Gas,yes,2004
Volkswagen,Passat B5,8500,sedan,220,2,Other,yes,2005
Mercedes-Benz,S 500,43500,sedan,59,4.6,Petrol,yes,2011
BMW,X5,14000,crossover,240,4.4,Gas,yes,2002
Volkswagen,T4 (Transporter),5200,van,442,2.4,Diesel,yes,1992
Mercedes-Benz,Sprinter 312,10000,van,450,NA,Diesel,yes,1998
Mitsubishi,Pajero Sport,11500,crossover,191,3,Gas,yes,2006
BMW,750,41000,sedan,97,4.4,Petrol,yes,2011
Mercedes-Benz,GL 350,62000,crossover,150,3,Diesel,yes,2013
Audi,Q7,35900,crossover,143,3,Diesel,yes,2010
Mercedes-Benz,Vito,8200,other,199,2.2,Diesel,yes,2001
Mercedes-Benz,C-Class,17300,sedan,107,1.8,Petrol,yes,2008
BMW,X3,6800,crossover,242,99.99,Diesel,no,2005
Audi,A3,30999,sedan,2,1.4,Petrol,yes,2016
BMW,530,3099,sedan,230,3,Diesel,no,2003
Audi,A4,5700,vagon,250,2,Diesel,no,2006
Volkswagen,Passat B5,7400,sedan,178,1.8,Gas,yes,2001
Toyota,Hilux,14500,other,180,2.5,Diesel,yes,2007
Volkswagen,T4 (Transporter),7300,van,214,1.9,Diesel,yes,2001
Mercedes-Benz,ML 350,33800,crossover,120,3,Diesel,yes,2010
BMW,530,3900,sedan,330,3,Diesel,no,2000
Mercedes-Benz,E-Class,NA,sedan,322,2.7,Diesel,no,2000
Volkswagen,T4 (Transporter),10700,van,274,2.5,Diesel,yes,2001
Volkswagen,Golf V,NA,hatch,128,1.6,Petrol,yes,2008
Audi,A8,17800,sedan,177,4.2,Petrol,yes,2008
Mitsubishi,Pajero Wagon,14500,crossover,167,3,Gas,yes,2008
Mercedes-Benz,E-Class,29900,sedan,83,2.2,Diesel,yes,2012
Mercedes-Benz,Vito,8100,van,330,2.2,Diesel,yes,2001
Mercedes-Benz,CLA 200,29500,sedan,64,1.6,Petrol,yes,2013
Mercedes-Benz,Vito,12700,other,198,2.2,Diesel,yes,2011
Volkswagen,Golf III,1199,hatch,250,1.9,Diesel,no,1994
Volkswagen,T5 (Transporter),12999,van,250,1.9,Diesel,yes,2009
Audi,Q3,34419.45,sedan,0,1.4,Petrol,yes,2016
Mitsubishi,Lancer X,8600,sedan,145,2,Petrol,yes,2009
Renault,Trafic,10450,van,106,2,Diesel,yes,2013
Mercedes-Benz,Vito,17800,van,145,2.2,Diesel,yes,2010
Audi,A6,3550,sedan,215,2.5,Diesel,no,2001
Mercedes-Benz,GLS 350,114999,crossover,0,2.99,Diesel,yes,2016
Renault,Laguna,13400,vagon,190,1.5,Diesel,yes,2013
BMW,525,2250,sedan,350,2.5,Diesel,yes,1998
Mitsubishi,Outlander XL,14999,crossover,115,3,Petrol,yes,2008
Volkswagen,T6 (Transporter),10600,van,140,2,Diesel,yes,2011
Audi,Q5,34000,crossover,119,2,Diesel,yes,2013
BMW,520,33500,sedan,65,2,Petrol,yes,2013
Audi,A6,22800,sedan,122,2,Petrol,yes,2011
BMW,X5,66666,crossover,0,2,Diesel,yes,2016
Audi,Q7,18500,crossover,185,3.6,Petrol,yes,2008
Volkswagen,Multivan,17900,sedan,192,2.5,Diesel,yes,2007
Mercedes-Benz,Vito,6950,other,190,2.2,Diesel,yes,1999
Mercedes-Benz,GLS 350,105000,crossover,1,3,Diesel,yes,2016
Renault,Trafic,11999,van,107,2,Diesel,yes,2013
Renault,Trafic,8000,van,189,1.9,Diesel,yes,2005
BMW,730,4600,sedan,280,3,Other,no,1999
Renault,Megane,7400,vagon,242,1.5,Diesel,yes,2007
Audi,Q7,27500,crossover,147,3,Diesel,yes,2008
Toyota,Venza,NA,crossover,33,2.7,Gas,yes,2012
Toyota,Land Cruiser Prado,27500,crossover,85,4,Petrol,yes,2007
Volkswagen,Caddy,9800,van,196,1.6,Diesel,yes,2011
Volkswagen,Touareg,21000,crossover,173,3,Diesel,yes,2008
Audi,A6 Allroad,9000,vagon,199,2.7,Petrol,yes,2003
Audi,Q7,55000,crossover,100,6,Diesel,yes,2009
Mercedes-Benz,GL 450,38900,crossover,65,4.5,Petrol,yes,2010
Renault,Logan,4000,sedan,180,1.4,Gas,yes,2006
Toyota,Avensis,13300,sedan,152,2,Petrol,yes,2009
Volkswagen,Touareg,34500,crossover,108,3,Diesel,yes,2012
BMW,X1,24999,vagon,24,2,Petrol,yes,2012
Volkswagen,Golf V,9750,hatch,130,1.4,Petrol,yes,2005
BMW,318,5900,sedan,390,1.8,Gas,yes,1996
Volkswagen,T5 (Transporter),6500,van,290,1.9,Diesel,yes,2004
Volkswagen,Golf VI,11000,vagon,127,1.6,Diesel,yes,2012
Mercedes-Benz,S 500,18800,sedan,320,5,Petrol,yes,1998
Volkswagen,T5 (Transporter),13700,van,222,2,Diesel,yes,2011
Volkswagen,Caddy,8500,van,184,2,Diesel,yes,2007
Volkswagen,Jetta,19100,sedan,4,1.6,Other,yes,2016
Renault,Sandero,10200,hatch,70,1.5,Diesel,yes,2013
Mercedes-Benz,S 400,173333,other,0,3,Petrol,yes,2016
BMW,520,7800,sedan,310,2,Gas,yes,2000
Mercedes-Benz,E-Class,9150,sedan,273,2.7,Diesel,yes,2000
Renault,Grand Scenic,7900,van,268,1.5,Diesel,yes,2008
Toyota,Land Cruiser 200,72000,crossover,40,4.5,Diesel,yes,2014
Mercedes-Benz,ML 350,49500,crossover,52,3,Diesel,yes,2013
Volkswagen,Phaeton,45000,sedan,90,3,Diesel,yes,2011
Renault,Trafic,8300,van,141,2,Diesel,yes,2011
Renault,Kangoo,5100,vagon,156,1.5,Diesel,yes,2006
Toyota,Camry,15300,other,116,2.4,Petrol,yes,2009
Volkswagen,Caddy,7300,van,142,2,Diesel,yes,2006
Toyota,Auris,14700,hatch,98,1.6,Gas,yes,2013
Mercedes-Benz,Vito,7900,other,197,2.2,Diesel,yes,2003
Volkswagen,Passat B5,2900,vagon,243,1.9,Diesel,no,1999
Mercedes-Benz,GLE-Class,NA,crossover,0,3,Diesel,yes,2016
BMW,525,3200,sedan,237,2.5,Petrol,yes,1990
Mercedes-Benz,E-Class,4400,sedan,160,2.7,Diesel,no,2000
Toyota,Land Cruiser Prado,20800,crossover,107,4,Petrol,yes,2006
Toyota,Rav 4,27800,crossover,98,2.2,Diesel,yes,2013
Audi,A6,16500,vagon,171,2,Diesel,yes,2008
Mercedes-Benz,Vito,NA,van,190,2.2,Diesel,yes,2007
Renault,Scenic,10500,van,67,1.6,Petrol,yes,2012
Mitsubishi,Pajero Wagon,16999,crossover,107,3,Gas,yes,2008
Audi,A6,35000,sedan,92,2.8,Petrol,yes,2013
Mercedes-Benz,ML 350,21500,crossover,142,3.5,Petrol,yes,2008
Mercedes-Benz,Vito,15800,other,264,2.2,Other,yes,2009
BMW,550,75555,sedan,30,4.4,Petrol,yes,2014
Renault,Kangoo,NA,van,159,1.5,Diesel,yes,2011
Toyota,Rav 4,8900,other,180,2,Petrol,yes,2003
Renault,Kangoo,6300,vagon,189,1.5,Diesel,yes,2008
Mitsubishi,Pajero Wagon,20500,crossover,109,3.2,Diesel,yes,2009
Volkswagen,Caddy,11300,van,165,1.9,Diesel,yes,2010
Mercedes-Benz,E-Class,2300,sedan,261,2.3,Gas,yes,1978
Volkswagen,Touareg,42500,crossover,63,3,Diesel,yes,2014
Toyota,Highlander,28000,crossover,95,3.5,Gas,yes,2011
Mitsubishi,ASX,17500,crossover,38,1.8,Petrol,yes,2012
Volkswagen,T4 (Transporter),7800,van,282,2.5,Diesel,yes,2000
Mercedes-Benz,GLE-Class,74999,crossover,1,2.2,Diesel,yes,2016
Renault,Kangoo,10200,other,39,1.5,Diesel,yes,2014
BMW,730,22500,sedan,179,3,Diesel,yes,2007
Mercedes-Benz,CLS 350,52777,sedan,60,3,Diesel,yes,2012
Toyota,Sienna,14250,van,127,3.5,Other,yes,2007
Toyota,Land Cruiser Prado,26200,crossover,156,4,Gas,yes,2007
Volkswagen,T4 (Transporter),9800,van,299,2.5,Diesel,yes,2002
Mercedes-Benz,Vito,47600,van,0,2.2,Diesel,yes,2016
Volkswagen,T4 (Transporter),8700,other,357,2.5,Diesel,yes,2003
BMW,X5,30500,crossover,147,3,Diesel,yes,2008
Renault,Laguna,11700,vagon,177,1.5,Diesel,yes,2012
BMW,523,29500,sedan,850,NA,Petrol,yes,2011
Mercedes-Benz,B 200,6400,hatch,177,2,Diesel,no,2008
BMW,X5,36400,crossover,80,3,Petrol,yes,2011
Audi,Q7,75000,crossover,0,3,Diesel,yes,2015
Volkswagen,Polo,6000,hatch,195,1.2,Gas,yes,2004
Mercedes-Benz,Vito,4900,van,248,2.2,Diesel,yes,2003
Mercedes-Benz,E-Class,6999,sedan,288,3.2,Gas,yes,2001
Volkswagen,Caddy,9900,other,171,1.6,Diesel,yes,2011
Volkswagen,Vento,3500,sedan,189,1.8,Petrol,yes,1993
Volkswagen,T5 (Transporter),NA,van,162,2,Diesel,yes,2011
BMW,520,1750,vagon,200,2,Petrol,no,2000
Renault,Kangoo,4600,sedan,230,1.5,Diesel,yes,2007
Mercedes-Benz,S 400,NA,other,0,3,Other,yes,2016
Volkswagen,Caddy,9800,van,220,1.9,Diesel,yes,2008
Renault,Kangoo,5950,van,135,1.5,Diesel,yes,2012
Renault,Kangoo,7400,van,120,1.5,Diesel,yes,2012
Audi,A4,12800,sedan,217,1.8,Petrol,yes,2007
BMW,520,7300,sedan,350,NA,Petrol,yes,1997
Volkswagen,Polo,9000,sedan,59,1.6,Gas,yes,2013
Volkswagen,Golf II,1550,hatch,130,1.3,Petrol,yes,1986
Mitsubishi,Outlander,18600,crossover,52,2,Petrol,yes,2013
BMW,525,3900,sedan,340,2.5,Diesel,no,2000
Audi,Q7,92222,crossover,0,3,Diesel,yes,2016
Volkswagen,T4 (Transporter),5400,other,314,2.4,Diesel,yes,1993
Audi,A6,16000,sedan,250,2,Diesel,yes,2008
Volkswagen,Touran,3500,other,304,1.9,Diesel,no,2006
Mercedes-Benz,E-Class,6500,sedan,270,2.8,Gas,yes,1999
Mercedes-Benz,E-Class,7000,sedan,300,4.3,Gas,yes,2000
Renault,Megane,10499,vagon,121,1.5,Diesel,yes,2013
Renault,Koleos,13900,crossover,111,2.5,Gas,yes,2010
BMW,323,6400,other,220,2.5,Petrol,yes,1997
BMW,530,10800,sedan,246,3,Diesel,yes,2003
BMW,118,12700,hatch,130,2,Petrol,yes,2007
BMW,520,38500,sedan,140,2,Diesel,yes,2012
Mitsubishi,Lancer,5999,sedan,150,1.6,Petrol,yes,2005
Renault,Megane,9500,hatch,77,1.6,Petrol,yes,2011
Volkswagen,T5 (Transporter),12000,van,196,2,Diesel,yes,2011
Mercedes-Benz,S 550,38700,sedan,117,5.5,Petrol,yes,2010
Mercedes-Benz,ML 63 AMG,40000,other,119,6.3,Petrol,yes,2008
Mercedes-Benz,Vito,6900,other,311,2.2,Diesel,yes,1999
Audi,A4,24300,sedan,43,1.8,Petrol,yes,2012
Mitsubishi,Pajero Wagon,17700,crossover,165,3,Gas,yes,2007
Toyota,Land Cruiser Prado,18999,crossover,153,2.7,Gas,yes,2006
BMW,740,8300,sedan,200,4.4,Petrol,yes,2001
Toyota,FJ Cruiser,25000,crossover,80,4,Gas,yes,2008
Volkswagen,Passat B7,NA,vagon,161,1.4,Petrol,yes,2011
Mitsubishi,Outlander XL,12499,crossover,142,2.4,Gas,yes,2008
BMW,524,2899,sedan,340,2.4,Diesel,yes,1988
BMW,645,19900,other,95,4.5,Petrol,yes,2005
Audi,Q7,51000,crossover,44,3,Diesel,yes,2014
Audi,Q7,81999,crossover,0,2.98,Diesel,yes,2016
BMW,735,9500,sedan,400,3.5,Gas,yes,1999
Mitsubishi,Outlander,10200,crossover,99,2,Gas,yes,2008
Mercedes-Benz,Vito,5500,van,260,2.2,Diesel,no,2004
Volkswagen,Passat CC,18500,sedan,74,1.8,Petrol,yes,2011
Volkswagen,T4 (Transporter),11200,van,200,2.5,Diesel,yes,2003
BMW,320,3099,sedan,320,2,Diesel,no,2000
Audi,TT,27300,other,65,2,Petrol,yes,2011
Volkswagen,Jetta,1450,other,200,1.8,Gas,yes,1987
Mitsubishi,Galant,9700,sedan,120,2.4,Gas,yes,2006
Mitsubishi,Pajero Wagon,18900,crossover,127,3,Gas,yes,2008
Audi,Q5,33500,crossover,67,2,Petrol,yes,2011
Volkswagen,T4 (Transporter),5500,van,400,1.9,Diesel,yes,1995
Volkswagen,Passat B5,5300,sedan,270,1.8,Gas,yes,1997
Toyota,Land Cruiser Prado,25500,crossover,200,4,Petrol,yes,2007
Toyota,Highlander,23660,crossover,125,3.5,Gas,yes,2013
Volkswagen,Golf II,3100,hatch,311,1.6,Gas,yes,1986
Mitsubishi,Lancer,5900,sedan,170,1.6,Petrol,yes,2007
Volkswagen,Passat B7,15900,sedan,150,2,Diesel,yes,2012
Mercedes-Benz,GLE-Class,105999,crossover,0,2.98,Diesel,yes,2016
Mercedes-Benz,Vito,18500,van,170,2.2,Diesel,yes,2010
BMW,X6,86999,crossover,0,3,Diesel,yes,2016
BMW,520,27800,sedan,170,2,Diesel,yes,2011
Volkswagen,T4 (Transporter),9000,van,275,2.5,Diesel,yes,2002
Toyota,Camry,12200,sedan,185,3.5,Petrol,yes,2008
Toyota,Camry,5800,sedan,200,2.2,Petrol,yes,1999
Volkswagen,T5 (Transporter),14499,van,164,2,Diesel,yes,2013
Audi,Q7,37000,other,170,3,Diesel,yes,2010
Volkswagen,Golf III,4500,hatch,199,1.8,Petrol,yes,1996
Audi,A8,6557.85,sedan,327,4.2,Gas,yes,2000
Renault,Megane,6800,sedan,219,1.6,Gas,yes,2007
BMW,X6,37900,crossover,97,3,Diesel,yes,2010
Audi,A6,14200,sedan,176,3,Diesel,yes,2005
Mitsubishi,Lancer X,9350,sedan,94,1.5,Gas,yes,2010
Volkswagen,Passat B2,2200,vagon,150,1.6,Petrol,yes,1986
Toyota,Corolla,3100,hatch,283,1.3,Petrol,yes,1994
Mitsubishi,Pajero Wagon,8400,crossover,100,3.2,Diesel,yes,2011
Audi,A4 Allroad,30650,vagon,35,2,Petrol,yes,2013
Audi,A6,8800,sedan,298,2.4,Gas,yes,1999
Mercedes-Benz,S 500,NA,other,25,4.7,Petrol,yes,2014
Mitsubishi,Pajero Sport,7699,crossover,254,3,Petrol,yes,2002
Renault,Kangoo,6400,van,136,1.5,Diesel,yes,2012
Volkswagen,Golf VI,16200,hatch,44,1.4,Petrol,yes,2012
Volkswagen,Vento,4100,sedan,88,1.8,Gas,yes,1993
Mercedes-Benz,C-Class,6800,sedan,235,2.2,Diesel,yes,1999
Volkswagen,Polo,10600,sedan,75,1.6,Petrol,yes,2012
Toyota,Rav 4,13000,crossover,149,2,Petrol,yes,2006
Toyota,Avensis,6500,sedan,248,2,Petrol,yes,2001
Audi,A6 Allroad,25500,vagon,181,3,Petrol,yes,2009
Volkswagen,Amarok,28000,crossover,132,2,Diesel,yes,2011
Toyota,Corolla,9800,sedan,123,NA,Petrol,yes,2008
Audi,A8,3500,sedan,200,2.5,Diesel,no,2001
Volkswagen,Caddy,14899,van,165,2,Diesel,yes,2013
BMW,530,3500,sedan,300,3,Diesel,no,1999
BMW,320,3500,sedan,272,2,Diesel,yes,2000
Volkswagen,Touareg,71138,crossover,0,3,Diesel,yes,2016
Renault,Logan,9658.94,sedan,1,1.2,Petrol,yes,2016
Volkswagen,T6 (Transporter),13000,van,178,2.5,Diesel,yes,2007
Toyota,Corolla,8000,hatch,115,1.6,Petrol,yes,2007
BMW,X5,56500,crossover,1,2,Diesel,yes,2016
Renault,Kangoo,9700,vagon,114,1.5,Diesel,yes,2012
Mercedes-Benz,A 140,7300,hatch,176,1.4,Petrol,yes,2004
Renault,Megane,9000,vagon,190,1.5,Diesel,yes,2009
Volkswagen,Passat B7,17900,sedan,96,2.5,Petrol,yes,2013
Volkswagen,Passat B6,10700,sedan,147,2,Petrol,yes,2007
Mercedes-Benz,E-Class,11600,sedan,186,3.2,Petrol,yes,2003
Volkswagen,T5 (Transporter),15000,van,275,2.5,Diesel,yes,2008
Volkswagen,Golf V,8350,hatch,200,1.4,Petrol,yes,2005
Mercedes-Benz,S 500,7700,sedan,199,5,Petrol,yes,1996
BMW,Z4,47000,other,5,2,Petrol,yes,2014
Audi,A8,72000,sedan,55,6.3,Petrol,yes,2012
Mitsubishi,Pajero Wagon,17499,crossover,149,3,Gas,yes,2008
Renault,Megane,11300,vagon,141,1.5,Diesel,yes,2013
Toyota,Corolla,8500,sedan,168,1.6,Petrol,yes,2008
Mercedes-Benz,E-Class,14490,vagon,212,2.2,Diesel,yes,2008
Volkswagen,T5 (Transporter),11999,van,176,2,Diesel,yes,2011
Volkswagen,Golf III,4300,hatch,217,1.6,Gas,yes,1997
BMW,X1,35500,crossover,33,2,Diesel,yes,2014
Toyota,Corolla,2800,other,421,1.3,Gas,yes,1988
BMW,520,37976.25,sedan,0,2,Petrol,yes,2016
Renault,Trafic,10500,van,183,2.5,Diesel,yes,2006
Toyota,Land Cruiser 200,74999,crossover,1,4.5,Diesel,yes,2016
Renault,Kangoo,7300,van,125,1.5,Diesel,yes,2012
Mitsubishi,Outlander XL,12200,crossover,140,2.4,Petrol,yes,2007
Toyota,Land Cruiser 200,NA,crossover,0,4.5,Diesel,yes,2016
Mercedes-Benz,Vito,13600,van,199,2.2,Diesel,yes,2009
Audi,100,5000,sedan,280,2.3,Gas,yes,1992
Renault,Trafic,12800,other,188,2,Diesel,yes,2008
Volkswagen,T6 (Transporter),12499,other,184,2,Diesel,yes,2012
Mitsubishi,Galant,2800,sedan,150,2,Gas,yes,1996
Renault,Megane,7300,van,200,1.5,Diesel,yes,2007
Mitsubishi,Lancer,6800,sedan,82,2,Petrol,yes,2007
Mitsubishi,Outlander,9500,crossover,225,2.4,Gas,yes,2004
Audi,A3,15900,hatch,160,1.4,Petrol,yes,2011
Volkswagen,Caddy,8900,other,180,1.9,Diesel,yes,2010
Toyota,Camry,16030,sedan,90,2.5,Gas,yes,2012
BMW,520,28000,sedan,170,2,Diesel,yes,2011
Audi,A6,10700,vagon,222,2.5,Diesel,yes,2005
BMW,X5,25000,crossover,150,30,Petrol,yes,2007
Mercedes-Benz,E-Class,7000,sedan,230,2,Gas,yes,2000
Volkswagen,T5 (Transporter),8800,van,260,2.5,Diesel,yes,2008
Volkswagen,Tiguan,35000,crossover,20,2,Diesel,yes,2014
Audi,A6,8000,vagon,200,2.7,Diesel,yes,2006
Mercedes-Benz,E-Class,15400,sedan,260,2.2,Diesel,yes,2008
Volkswagen,Passat B5,7650,sedan,325,1.8,Gas,yes,2003
Mitsubishi,Outlander,10600,crossover,52,2,Petrol,yes,2008
Renault,Logan,8200,vagon,192,1.5,Diesel,yes,2010
Volkswagen,T4 (Transporter),8700,other,520,2.5,Diesel,yes,1999
BMW,520,45000,sedan,29,2,Diesel,yes,2016
Volkswagen,T4 (Transporter),5699,van,258,2.5,Diesel,yes,2001
Mercedes-Benz,Viano,13200,van,217,3.7,Gas,yes,2005
Volkswagen,Caddy,11500,van,70,2,Diesel,yes,2013
BMW,528,3300,sedan,233,28,Petrol,no,1997
Volkswagen,T5 (Transporter),12700,van,213,2,Diesel,yes,2012
Mercedes-Benz,E-Class,NA,other,176,3,Diesel,yes,2008
Volkswagen,Polo,12300,hatch,62,1.4,Petrol,yes,2012
Mercedes-Benz,S 350,35500,sedan,100,3.5,Petrol,yes,2010
Audi,A4,15500,sedan,210,2,Diesel,yes,2008
Mercedes-Benz,GLK 220,33000,crossover,109,2.2,Diesel,yes,2012
Mercedes-Benz,Vito,NA,van,173,2.2,Diesel,yes,2011
BMW,320,6500,sedan,280,2,Petrol,yes,1997
Volkswagen,Passat B5,2350,sedan,11,1.9,Other,no,2000
Volkswagen,Touareg,17900,crossover,130,3.6,Gas,yes,2007
BMW,X5,34500,other,160,3,Diesel,yes,2010
Renault,Latitude,12300,sedan,99,2.5,Petrol,yes,2011
Mercedes-Benz,CLS 350,20500,sedan,193,3.5,Other,yes,2006
BMW,M5,75555,sedan,30,4.4,Petrol,yes,2014
Toyota,Camry,12800,sedan,145,2.4,Petrol,yes,2008
Mercedes-Benz,Vito,12800,other,360,2.2,Diesel,yes,2008
Audi,A8,6900,sedan,327,3.7,Petrol,yes,1997
Volkswagen,Touareg,17200,crossover,220,2.5,Diesel,yes,2006
Renault,Symbol,6800,sedan,87,1.4,Petrol,yes,2013
Audi,A8,14300,other,80,4.2,Petrol,yes,2004
Volkswagen,Passat B7,11600,sedan,169,1.4,Gas,no,2013
Volkswagen,T4 (Transporter),11990,van,231,2.5,Diesel,yes,2002
BMW,750,77777,sedan,8,4.4,Petrol,yes,2014
Mercedes-Benz,C-Class,6800,sedan,186,NA,Petrol,yes,1998
BMW,318,2800,sedan,300,1.8,Other,yes,1987
Mercedes-Benz,E-Class,28500,other,65,1.8,Petrol,yes,2011
Audi,Q7,42700,crossover,75,3,Diesel,yes,2013
Volkswagen,Caddy,6950,other,217,1.9,Diesel,yes,2006
Volkswagen,Polo,7300,hatch,117,1.4,Petrol,yes,2007
Mercedes-Benz,S 350,NA,sedan,25,3,Diesel,yes,2014
Mitsubishi,Pajero Sport,27565.2,crossover,1,2.5,Diesel,yes,2016
Volkswagen,Golf Variant,12900,vagon,145,1.6,Diesel,yes,2011
Volkswagen,Bora,5900,sedan,217,2.3,Petrol,yes,1999
Mercedes-Benz,A 140,2600,hatch,111,1.4,Petrol,no,1999
Audi,A6,2799,vagon,390,1.9,Diesel,no,1998
Mitsubishi,Pajero Sport,21000,crossover,98,2.5,Diesel,yes,2011
Audi,A6,4999,sedan,231,1.9,Diesel,no,2002
Volkswagen,Bora,6900,sedan,160,1.6,Petrol,yes,2003
Mercedes-Benz,S 320,5800,sedan,366,3.2,Gas,yes,1991
Mitsubishi,ASX,15700,other,68,1.8,Petrol,yes,2011
Volkswagen,Touareg,74500,crossover,0,3,Diesel,yes,2015
Mercedes-Benz,S 500,22900,sedan,131,5.5,Gas,yes,2008
Mercedes-Benz,ML 350,32000,crossover,96,3.5,Petrol,yes,2010
Mercedes-Benz,CLA 200,35300,sedan,3,1.6,Petrol,yes,2014
Volkswagen,Passat B5,6900,sedan,320,1.8,Gas,yes,2002
BMW,520,7000,sedan,286,2.8,Petrol,yes,2001
Volkswagen,Touareg,35800,crossover,92,3,Diesel,yes,2011
Volkswagen,Polo,10700,hatch,60,1.4,Petrol,yes,2010
BMW,X5,23999,crossover,194,3,Petrol,yes,2007
Volkswagen,Golf IV,2700,hatch,300,1.9,Diesel,no,2000
Mercedes-Benz,S 350,10000,sedan,80,NA,Diesel,yes,2010
Toyota,Land Cruiser Prado,18200,crossover,146,2.7,Gas,yes,2006
Audi,A6,2450,vagon,325,2.5,Diesel,no,2000
Audi,A3,15800,hatch,123,1.4,Petrol,yes,2010
Volkswagen,Passat B5,9400,vagon,176,1.9,Diesel,yes,2005
Mitsubishi,Space Star,5800,vagon,230,1.6,Petrol,yes,2005
Volkswagen,Passat B7,13499,sedan,162,1.4,Petrol,yes,2012
Volkswagen,Passat B8,39615,sedan,0,2,Diesel,yes,2016
Toyota,Rav 4,23300,crossover,40,2,Petrol,yes,2014
Audi,A4,2100,sedan,217,1.9,Diesel,no,1996
BMW,520,3000,sedan,350,99.99,Other,yes,1992
Mercedes-Benz,230,2700,sedan,337,2.3,Gas,yes,1988
Renault,Trafic,NA,van,153,2,Diesel,yes,2012
Volkswagen,Caddy,6700,van,16,2,Diesel,yes,2005
BMW,X1,43163.25,crossover,0,2,Diesel,yes,2016
Renault,Laguna,2750,hatch,186,22,Diesel,no,2005
Toyota,Rav 4,28350,crossover,92,2.2,Diesel,yes,2013
Toyota,Land Cruiser Prado,29500,crossover,90,2.7,Gas,yes,2010
BMW,X5 M,NA,crossover,15,4.39,Petrol,yes,2015
Volkswagen,Passat B5,8200,sedan,258,1.9,Diesel,yes,2004
Mercedes-Benz,Sprinter 313,10999,other,269,2.2,Diesel,yes,2006
Mercedes-Benz,GLS 350,NA,crossover,1,3,Diesel,yes,2016
Renault,Logan,8299,sedan,19,1.2,Petrol,yes,2013
Toyota,Camry,20500,sedan,105,2.5,Petrol,yes,2013
Volkswagen,T5 (Transporter),14500,van,168,2,Diesel,yes,2012
Toyota,Camry,17300,other,135,3.5,Gas,yes,2009
Mercedes-Benz,S 500,18700,sedan,105,5.5,Petrol,yes,2006
Toyota,Corolla,13200,sedan,38,1.33,Petrol,yes,2014
Volkswagen,Jetta,2450,sedan,200,1.3,Gas,yes,1991
Audi,A7,55000,hatch,24,2.8,Other,yes,2014
Toyota,Previa,20000,van,135,2.4,Gas,yes,2006
Volkswagen,Golf III,4000,hatch,266,1.9,Diesel,yes,1993
Mitsubishi,Pajero Wagon,16900,other,120,3,Petrol,yes,2008
Mitsubishi,Lancer X,11450,sedan,60,1.6,Gas,yes,2012
Mercedes-Benz,G 500,24500,crossover,236,5,Petrol,yes,2000
Renault,Fluence,12350,sedan,64,2,Gas,yes,2011
Mercedes-Benz,E-Class,6900,sedan,239,2.3,Petrol,yes,1996
Toyota,Land Cruiser Prado,30500,crossover,40,2.7,Petrol,yes,2011
Mitsubishi,Lancer X,8800,sedan,105,2,Gas,yes,2008
Audi,A6,9700,sedan,249,2.5,Diesel,yes,2004
BMW,X5,63500,crossover,33,3,Petrol,yes,2015
Mitsubishi,Lancer X,8900,sedan,96,2,Petrol,yes,2008
Audi,A4,1950,vagon,210,1.8,Gas,no,1996
Audi,A6,4400,sedan,190,2.5,Diesel,no,2003
Toyota,Camry,12450,sedan,162,3.5,Gas,yes,2007
Audi,A6,3200,sedan,295,2.5,Diesel,no,2000
Audi,A8,12600,sedan,294,3,Gas,yes,2004
Renault,Kangoo,NA,vagon,137,1.9,Diesel,yes,2008
Mercedes-Benz,E-Class,4400,sedan,225,2,Gas,yes,1995
Mercedes-Benz,E-Class,3900,sedan,111,2.5,Diesel,yes,1989
Mercedes-Benz,GLS 500,154999,crossover,0,4.6,Petrol,yes,2016
Volkswagen,Polo,8499,sedan,101,1.6,Petrol,yes,2012
Mercedes-Benz,Vito,8000,other,230,2.2,Diesel,yes,2001
Volkswagen,Beetle,3500,hatch,250,1.9,Diesel,no,2000
Audi,A6,11900,sedan,195,2.4,Gas,yes,2005
Toyota,Camry,24800,sedan,43,2.5,Gas,yes,2015
Audi,A6,3800,vagon,190,2.5,Diesel,no,2002
Volkswagen,Passat B5,4800,sedan,190,99.99,Petrol,yes,1998
Volkswagen,Caddy,7500,van,230,1.9,Diesel,yes,2006
BMW,528,8999,sedan,270,2.8,Petrol,yes,1998
Volkswagen,T4 (Transporter),5000,van,326,2.4,Diesel,yes,1995
Mercedes-Benz,ML 350,21000,crossover,135,3.5,Petrol,yes,2007
Renault,Kangoo,4200,van,142,1.9,Diesel,yes,2007
Mitsubishi,Pajero Wagon,18000,crossover,160,3.2,Diesel,yes,2007
Volkswagen,T4 (Transporter),8500,van,220,2.5,Diesel,yes,2003
Renault,Laguna,3750,hatch,232,1.8,Petrol,yes,1997
Volkswagen,Caddy,9000,other,212,2,Gas,yes,2007
Mitsubishi,Pajero,6300,crossover,235,3.2,Diesel,no,2001
BMW,320,8400,sedan,297,2.2,Petrol,yes,2000
Volkswagen,Golf IV,5000,hatch,190,NA,Petrol,yes,1998
Volkswagen,T5 (Transporter),17000,van,157,2,Diesel,yes,2010
Volkswagen,Jetta,3000,sedan,240,1.8,Petrol,yes,1991
